user_id,item_id
12,"6971,7637,684,3539,7063,12757,560,7462,2885,4513,7558,9668,11384,9303,12480,7892,12990,11326,3044,8058,6985,12668,6288,1228,11716,7898,1200,9192,9425,331"
14,"1290,10663,12030,6243,12474,9405,4413,1062,2969,9693,789,4291,6220,12705,2291,1554,12497,1022,1601,8716,8421,7817,6899,9488,6660,2988,11486,11789,8483,12991"
17,"4798,976,10326,6925,2169,12331,11282,7637,84,6220,4946,2219,13192,5149,4602,1180,4552,402,9046,5803,10462,4833,12940,11328,6633,4212,6982,12544,1606,11415"
21,"6515,1776,13296,12157,8452,12704,11229,1871,5964,4602,5675,12738,6350,4551,9470,7882,11540,13388,12758,785,8167,5124,9431,3886,10599,3953,13072,5339,1478,7207"
44,"1290,6243,6971,5573,6166,6220,12944,7578,1554,11298,9516,8590,12611,8922,1286,1973,9072,12497,3088,8567,12680,7138,8053,9454,11891,11202,8650,7071,8505,4040"
55,"6971,11651,3697,331,10507,8922,2789,9340,7063,13309,12611,3064,10132,10063,1309,9937,992,10464,12710,2916,11637,8520,8124,4789,5105,11578,4659,7770,6137,10787"
56,"6971,331,2238,9340,9164,1811,8810,6445,2990,5031,11289,275,12710,11464,1244,2591,11363,4679,13159,8176,1141,10462,4024,4240,1598,350,3875,4063,7219,2339"
58,"2140,8399,7637,10462,12535,7471,1085,8608,12404,4829,9837,5905,12305,784,1098,823,3291,5808,8957,5142,3799,8021,4163,3835,12096,12678,4216,13120,455,2037"
59,"2916,9295,10462,12404,7867,1290,5303,7498,2218,9942,10277,4413,2114,3781,271,11488,7329,5631,12549,9867,11544,12241,11282,351,11107,4219,5830,1606,5033,8563"
79,"1290,7120,789,5303,9962,6515,5135,9799,4277,5512,1065,6395,961,10269,11393,10679,9865,13257,11024,4840,2199,4338,3515,10376,2286,8005,2380,8681,8827,9380"
81,"1290,6243,7120,3697,6166,2199,5135,8567,4929,5008,13101,6576,851,8590,10336,1554,7197,5573,6971,7578,12662,9962,8302,10394,12875,8494,1255,8480,12655,9671"
85,"2140,7120,1996,9072,10322,2218,4413,5199,6962,5610,3344,9848,1977,1851,8954,9971,7707,2931,3,4973,5700,11621,5819,6486,3396,11394,2233,10968,13214,1558"
