user_id,item_id
12,"2218,6220,4277,5303,2140,8421,5545,10326,9072,13296,8562,1978,12990,7707,6971,4798,2343,4679,3870,9942,7063,10835,11384,5199,7138,3950,5485,811,13346,5532"
14,"9799,6971,1290,7637,2140,7120,8922,5303,8590,9668,6166,4698,9937,12030,4101,5549,4929,8421,8235,2020,10663,12026,4413,851,5999,2199,2567,2789,4947,331"
17,"5760,6060,10352,6402,8540,5105,6640,8911,6150,10739,10441,162,4029,6952,6011,10974,1521,5786,5027,13111,6306,9482,10732,449,4256,2770,5249,9375,4399,6815"
21,"6220,2218,2140,10326,4277,6971,8421,9072,13296,12990,8562,5545,2343,5999,8590,4798,7707,7063,10835,7138,2380,9580,1978,5485,5532,11384,1912,3950,9942,13346"
44,"1290,7120,9962,5135,789,10607,11298,4163,2957,13309,3697,1851,4216,10674,11024,4664,296,9295,83,6610,10336,4036,11775,2916,10663,10648,10389,4576,10581,4929"
55,"6220,2218,5545,2140,7707,4277,5303,1978,10326,13296,8562,9072,8421,3870,9942,3950,13110,10835,2343,12990,350,1210,4798,5199,11384,1017,5532,7063,3428,13346"
56,"6971,5303,2140,6220,8421,10326,1290,2218,4277,8590,13296,4798,5999,12990,2343,9072,8922,9799,10835,9580,8562,331,5545,851,4413,7138,8235,2380,4117,2789"
58,"5303,2140,6971,8421,6220,10326,4277,2218,12990,4798,5999,8562,9580,13296,851,331,8590,2789,9072,2380,8161,9799,10916,7063,6326,7138,11282,5545,1912,10835"
59,"2218,6220,2140,5303,5545,4277,10326,13296,8421,8562,9072,7707,12990,6971,3870,2343,10835,9942,1978,8590,3950,4798,7063,4679,11384,5532,5999,5199,7138,5485"
79,"2218,6220,4277,2343,5545,10326,9072,13296,8562,2140,5303,9942,1978,544,6971,8590,12990,4679,5532,10835,7707,8421,9455,3870,7138,11969,1017,1210,9341,5485"
