hidden,lr,dropout,blocks,heads,max_len,neg_mode,best_recall@10,best_ndcg@10,best_blend_alpha,blended_recall@10,epochs_to_best,params,seconds
32,0.001,0.2,2,2,50,full,0.01665,0.01027,0.15,0.01925,20,444736,7613.4
32,0.001,0.5,2,2,50,full,0.01798,0.01135,0.1,0.01926,55,444736,34961.1
32,0.0005,0.2,2,2,50,full,0.01626,0.0097,0.2,0.01835,40,444736,7744.7
32,0.0005,0.5,2,2,50,full,0.0191,0.01076,0.05,0.01935,80,444736,13024.4
64,0.001,0.2,2,2,50,full,0.01561,0.00925,0.3,0.01876,15,914048,5977.0
64,0.001,0.5,2,2,50,full,0.01746,0.01024,0.3,0.01881,15,914048,5994.5
64,0.0005,0.2,2,2,50,full,0.01573,0.00936,0.3,0.0172,20,914048,6880.4
64,0.0005,0.5,2,2,50,full,0.01813,0.01063,0.2,0.01851,25,914048,7755.4
128,0.001,0.2,2,2,50,full,0.01564,0.00905,0.3,0.01772,5,1926400,6786.8
128,0.001,0.5,2,2,50,full,0.01701,0.0104,0.3,0.01896,10,1926400,8101.7
128,0.0005,0.2,2,2,50,full,0.01656,0.00985,0.5,0.01828,10,1926400,10275.9
128,0.0005,0.5,2,2,50,full,0.01832,0.01107,0.05,0.01975,20,1926400,11001.9
